Ticker,Number of Events,Events / Year,Positive Events,Negative Events,Positive %,Negative %,Average Interval,Median Interval,Minimum Interval,Maximum Interval,Average Threshold
SNDK,142,71.0,98,44,69.01408450704226,30.985915492957744,3.5673758865248226,3.0,1.0,13.0,0.08098125965460369
SNPS,2606,67.8912436679417,1417,1189,54.37452033768228,45.62547966231773,3.7032629558541266,3.0,1.0,26.0,0.026823977082861022
SO,2652,69.0396694214876,1412,1240,53.242835595776775,46.757164404223225,3.6416446623915504,3.0,1.0,20.0,0.015425046868354006
SOLV,224,68.33898305084746,111,113,49.55357142857143,50.44642857142857,3.695067264573991,3.0,1.0,15.0,0.02767493539397591
SPG,2674,69.61239669421487,1456,1218,54.45026178010471,45.54973821989529,3.611672278338945,3.0,1.0,23.0,0.023342404833044176
SPGI,2614,68.05744395082137,1437,1177,54.973221117061975,45.026778882938025,3.6942212016838885,3.0,1.0,32.0,0.022538723324098942
SRE,2612,68.00537245583222,1423,1189,54.479326186830015,45.520673813169985,3.6970509383378016,3.0,1.0,33.0,0.0189607587731757
STE,2556,66.57488372093023,1355,1201,53.01251956181534,46.98748043818466,3.7765166340508807,3.0,1.0,19.0,0.024002892812287575
STLD,2725,70.95474271543708,1449,1276,53.1743119266055,46.825688073394495,3.543318649045521,3.0,1.0,21.0,0.03639032104215187
STT,2601,67.73297509558748,1373,1228,52.78738946559016,47.21261053440984,3.711923076923077,3.0,1.0,21.0,0.028039706296931664
STX,2346,68.7112970711297,1265,1081,53.92156862745098,46.07843137254902,3.659275053304904,3.0,1.0,18.0,0.036528238019070305
STZ,2529,65.85120892746436,1371,1158,54.2111506524318,45.78884934756821,3.8180379746835444,3.0,1.0,21.0,0.023788392827605212
SW,619,24.009235031553025,334,285,53.95799676898223,46.04200323101777,10.488673139158577,4.0,1.0,761.0,0.03667688533636686
SWK,2635,68.60419464820747,1361,1274,51.65085388994307,48.34914611005693,3.664768413059985,3.0,1.0,23.0,0.026159424751074536
SWKS,2596,67.58880049591899,1335,1261,51.42526964560863,48.57473035439137,3.719845857418112,3.0,1.0,25.0,0.043922678174506354
SYF,1153,66.71779563719862,609,544,52.818733738074584,47.181266261925416,3.7699652777777777,3.0,1.0,21.0,0.028584984249355006
SYK,2594,67.57862090354595,1411,1183,54.39475713184272,45.60524286815728,3.7204010798303124,3.0,1.0,22.0,0.020955300839505274
SYY,2524,65.71422667630954,1303,1221,51.62440570522979,48.37559429477021,3.8260007927070947,3.0,1.0,21.0,0.019989338062013664
