Ticker,Number of Events,Positive Labels,Negative Labels,Neutral Labels,PT hits,SL hits,Vertical hits,Positive %,Negative %,Neutral %,Average Holding Days,Median Holding Days,Average Return,Median Return,Average Volatility,Average Barrier Width
COO,2541,1163,1063,315,1163,1063,315,45.769382133018496,41.83392365210547,12.396694214876034,3.8299881936245574,4.0,0.001100415200801105,0.0054121220678679674,0.024877891607599175,1.7366880533580005
COP,2782,1318,1193,271,1318,1193,271,47.375988497483824,42.88281811646298,9.7411933860532,3.6013659237958304,3.0,0.0007241144228252106,0.007609854956247709,0.02542358469635122,2.8390291990969954
COR,2583,1227,1060,296,1227,1060,296,47.50290360046458,41.03755323267519,11.459543166860241,3.722028648857917,3.0,0.0010556452554522475,0.008792008197260972,0.022443997829646185,3.1105281885169402
COST,2653,1259,1086,308,1259,1086,308,47.45571051639653,40.934790802864676,11.609498680738787,3.6943083301922353,3.0,0.0010146257818389847,0.008640934736788855,0.020472773132287025,8.158819656602198
CPAY,1483,680,605,198,680,605,198,45.85300067430884,40.79568442346595,13.35131490222522,3.832771409305462,4.0,0.001165064372245792,0.00913674814433883,0.025215262753122688,9.883617756266158
CPRT,2527,1134,1043,350,1134,1043,350,44.87534626038781,41.27423822714682,13.850415512465375,3.7882865057380295,4.0,0.0008170416391798803,0.005966746096999855,0.02551840095546704,0.556829698522208
CPT,2702,1271,1182,249,1271,1182,249,47.039230199851964,43.74537379718727,9.21539600296077,3.5229459659511475,3.0,0.0002905928681465959,0.005258899996488433,0.02037039035120776,2.7769530760132923
CRH,2679,1190,1156,333,1190,1156,333,44.41955953714072,43.15042926465099,12.430011198208286,3.620380739081747,3.0,-0.00023566602023237599,0.0034129855935049283,0.02857270005408476,1.9127240406121533
CRL,2514,1105,1050,359,1105,1050,359,43.95385839299921,41.766109785202865,14.28003182179793,3.907319013524264,4.0,0.00011809609124186155,0.0035728362601876447,0.028428991999432357,5.769201946731641
CRM,2152,948,898,306,948,898,306,44.05204460966542,41.72862453531599,14.219330855018589,3.882434944237918,4.0,6.522032463425516e-05,0.004332004284529191,0.0325494739357034,5.855164397600151
CRWD,715,339,299,77,339,299,77,47.41258741258741,41.81818181818181,10.76923076923077,3.725874125874126,3.0,0.001403144740740361,0.012889101159681629,0.04663519116181051,5.185670652471934
CSCO,2506,1093,1055,358,1093,1055,358,43.61532322426177,42.09896249002394,14.285714285714285,3.905826017557861,4.0,-0.0005243006426950746,0.003620462982438265,0.027104053872725322,1.7364104566751466
CSGP,2573,1150,1094,329,1150,1094,329,44.69490866692577,42.51846094053634,12.786630392537893,3.775359502526234,4.0,-0.00025934419638761293,0.0018584817481240618,0.031705979516167944,1.4725706281226705
CSX,2690,1260,1126,304,1260,1126,304,46.84014869888476,41.858736059479554,11.301115241635689,3.713382899628253,3.0,0.000511264988234078,0.006417689132470927,0.025079304725549104,0.5848145076084506
CTAS,2579,1159,1107,313,1159,1107,313,44.9398991857309,42.923613803799924,12.136487010469175,3.683210546723536,3.0,0.00033513507696940255,0.0038191698271531063,0.022201121730509987,1.770958955334113
CTSH,2549,1136,1053,360,1136,1053,360,44.56649666535896,41.310317771675166,14.12318556296587,3.8732836406433897,4.0,0.000630685629981301,0.004436963595727467,0.030809689517075325,1.850626517728252
CTVA,697,313,294,90,313,294,90,44.90674318507891,42.18077474892396,12.91248206599713,3.8020086083213775,3.0,0.0014581981304346958,0.007470196817546766,0.02613773858934386,2.493036961041627
CVNA,888,401,367,120,401,367,120,45.15765765765766,41.328828828828826,13.513513513513514,3.7286036036036037,3.0,0.0012061133553921846,0.010557276783697472,0.07596353790339262,3.189836281333319
CVS,2583,1196,1105,282,1196,1105,282,46.30274874177313,42.77971351142083,10.91753774680604,3.7421602787456445,4.0,0.00032345961588414366,0.005285768665894323,0.023284638651020508,2.273542009073017
CVX,2737,1243,1206,288,1243,1206,288,45.41468761417611,44.06284252831568,10.52246985750822,3.567044208987943,3.0,0.00019405036947434364,0.0031368153634398397,0.020558324612874226,3.874182505063381
D,2685,1214,1198,273,1214,1198,273,45.21415270018622,44.61824953445065,10.167597765363128,3.548603351955307,3.0,0.0002048086583978997,0.0015259955679520786,0.01705354226513032,1.7626876834528256
DAL,1944,911,842,191,911,842,191,46.86213991769547,43.31275720164609,9.825102880658436,3.6059670781893005,3.0,0.0009166217986925688,0.007969866678368439,0.03828171049729353,2.159316101215684
