Ticker,Number of Events,Positive Labels,Negative Labels,Neutral Labels,PT hits,SL hits,Vertical hits,Positive %,Negative %,Neutral %,Average Holding Days,Median Holding Days,Average Return,Median Return,Average Volatility,Average Barrier Width
DASH,537,240,238,59,240,238,59,44.6927374301676,44.320297951582866,10.986964618249534,3.7057728119180635,3.0,-0.0010442626199845017,0.003514987252964856,0.0457493637606455,11.874404917890379
DD,2629,1135,1171,323,1135,1171,323,43.17230886268543,44.54165081780145,12.286040319513122,3.7371624191707875,3.0,-0.0005585418909487392,-0.0028667763178828343,0.026969249852621016,3.8378121606389306
DDOG,655,293,287,75,293,287,75,44.732824427480914,43.81679389312977,11.450381679389313,3.7282442748091604,3.0,-0.0002709885047290156,0.0054672813623610275,0.04829761931681216,10.276545568167498
DE,2718,1250,1161,307,1250,1161,307,45.989698307579104,42.71523178807947,11.295069904341428,3.6747608535688006,3.0,0.0006417702744450649,0.006653301684678797,0.02579297723765823,7.008048911326343
DECK,2577,1200,1057,320,1200,1057,320,46.56577415599534,41.01668606907257,12.417539774932091,3.755917733798991,3.0,0.0013552285189275383,0.012091183715879817,0.03958366202394634,1.7926414846106875
DELL,924,453,358,113,453,358,113,49.02597402597403,38.74458874458874,12.229437229437229,3.735930735930736,3.0,0.003136924391564406,0.014081154583380346,0.03193882955169648,4.990083709790875
DG,1531,709,594,228,709,594,228,46.309601567602876,38.79817112998041,14.892227302416721,3.907250163291966,4.0,0.001741646095417364,0.00897781250773679,0.02316949371269773,4.971124577029403
DGX,2498,1141,1047,310,1141,1047,310,45.67654123298639,41.91353082465973,12.409927942353884,3.7610088070456364,3.0,0.000706123875639099,0.002860046059748659,0.022264747467744227,3.1701540189915294
DHI,2706,1273,1170,263,1273,1170,263,47.043606799704364,43.23725055432372,9.719142645971916,3.5639320029563932,3.0,0.0006917062684389235,0.0073023530951231135,0.03484874668098286,2.603146058415866
DHR,2615,1194,1109,312,1194,1109,312,45.65965583173996,42.409177820267686,11.931166347992352,3.758699808795411,4.0,0.000551416488173712,0.00429884508470396,0.02064250060834319,3.4682737341200363
DIS,2595,1153,1109,333,1153,1109,333,44.43159922928709,42.73603082851638,12.83236994219653,3.7252408477842005,3.0,0.00018184431492074686,0.002673662030074459,0.023346042898817417,3.0061278731356555
